REF_AREA_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,TIME_PERIOD,OBS_VALUE
Cote d'Ivoire,Male,All age ranges or no breakdown by age,Total,2018,28.87973403930664
Cote d'Ivoire,Total,15 to 29 years old,Total,2018,44.15904235839844
Cote d'Ivoire,Total,30 to 59 years old,Total,2018,26.45539665222168
Cote d'Ivoire,Female,All age ranges or no breakdown by age,Total,2018,20.125093460083008
Cote d'Ivoire,Total,All age ranges or no breakdown by age,Rural area,2018,11.823057174682615
Cote d'Ivoire,Total,15 to 24 years old,Total,2018,48.304325103759766
Cote d'Ivoire,Total,All age ranges or no breakdown by age,Total,2018,24.43253326416016
Djibouti,Total,25 years old and over,Total,2017,38.184547424316406
Djibouti,Total,All age ranges or no breakdown by age,Rural area,2017,14.97647190093994
Djibouti,Total,30 to 59 years old,Total,2017,32.84215545654297
Djibouti,Male,All age ranges or no breakdown by age,Total,2017,55.97875595092773
Djibouti,Total,All age ranges or no breakdown by age,Total,2017,47.74948501586914
Djibouti,Total,15 to 29 years old,Total,2017,69.7442626953125
Djibouti,Total,All age ranges or no breakdown by age,Urban area,2017,52.82935333251953
Djibouti,Female,All age ranges or no breakdown by age,Total,2017,39.8083610534668
Djibouti,Total,15 to 24 years old,Total,2017,74.58673095703125
Ecuador,Male,All age ranges or no breakdown by age,Total,2021,75.56342315673828
Ecuador,Total,All age ranges or no breakdown by age,Urban area,2021,78.81515502929688
Ecuador,Total,60 years old and over,Total,2018,60.92438507080078
Ecuador,Total,All age ranges or no breakdown by age,Total,2018,73.0071792602539
Ecuador,Total,15 to 29 years old,Total,2018,96.27547454833984
Ecuador,Female,All age ranges or no breakdown by age,Total,2018,72.15095520019531
Ecuador,Total,15 to 24 years old,Total,2018,96.64460754394533
Ecuador,Total,All age ranges or no breakdown by age,Total,2021,75.5996322631836
Ecuador,Total,30 to 59 years old,Total,2018,87.64622497558594
Ecuador,Total,15 to 29 years old,Total,2021,98.35364532470705
Ecuador,Total,All age ranges or no breakdown by age,Rural area,2018,62.91032409667969
Ecuador,Total,30 to 59 years old,Total,2021,90.10275268554688
Ecuador,Total,60 years old and over,Total,2021,63.412071228027344
Ecuador,Total,All age ranges or no breakdown by age,Urban area,2018,77.70368957519531
